	Titles	Ratings	Cast	Genre
0	The Hunger Games: The Ballad of Songbirds & Snakes	73.09	Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler	Animation,Comedy,Family
1	Blue Beetle	69.32000000000001	Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi	Animation,Family,Music,Fantasy,Comedy
2	Transformers: Rise of the Beasts	74.52	Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh	Drama,History
3	Meg 2: The Trench	67.24000000000001	Rebecca Finch,Ray Whelan,Kate Milner Evans,Mark Sears,Peter Cosgrove,Carmina Cordelia,Mike Kelson,Kate Lush,Georgia Woodthorpe	Action,Horror,Fantasy
4	Wonka	67.5	Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin	Horror,Mystery
5	Napoleon	64.45	Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture	Action,Adventure,Thriller
6	Saw X	73.91	Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa	Action,Crime,Thriller
7	Elemental	77.23	John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann	Science Fiction,Action,Thriller
8	Jawan	72.63		
9	Gran Turismo	79.92	Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen	Action,Drama,Romance
10	Spider-Man: Across the Spider-Verse	84.00999999999999	Jennifer Garner,Ed Helms,Emma Myers,Brady Noon,Lincoln Sykes,Theodore Sykes,Rita Moreno,Matthias Schweighöfer,Vanessa Carrasco	Comedy,Fantasy,Family,Crime
11	Barbie	71.82000000000001	Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny	Action,Thriller
12	The Marvels	66.0	Corey Taylor,Destiny Salas,Lindsey Cruz,Steve Delgado,Julie Garcia-Briceno,Jackie Gerhardy,Mark Justice,Gotham McFadden,Destiny Faith Nelson	Science Fiction
13	The Bad Guys: A Very Bad Holiday	54.0	John Cena,Alison Brie,Juan Pablo Raba,Alice Eve,Marton Csokas,Christian Slater,Julianne Arrieta,Molly McCann,Daniel Toro	Action,Comedy
14	The Survivor	72.13	Ryunosuke Kamiki,Hidetaka Yoshioka,Minami Hamabe,Kuranosuke Sasaki,Yuki Yamada,Saki Nakatani,Munetaka Aoki,Sakura Ando,Mio Tanaka	Drama,Science Fiction,Action
15	Mega Lightning	45.0	Dolph Lundgren,Tyrese Gibson,Michael Jai White,Kellan Lutz,Vicellous Shannon,Hiram A. Murray,Justen Jones,Gary David Keast,Aaron Courteau	War,Drama,Action
16	John Wick: Chapter 4	77.86	Bridget Rose Perrotta,Destiny Leilani Brown,James Liddell,Gideon Berger,Cayla Berejikian,Victoria Andrunik,Darin F. Earl II,Searra Sawka,Thomas J. Cipriano	Horror,Mystery
17	Avatar: The Way of Water	76.5	Tserendolgor Munkhbat,Altantur Altanjargal	History,Action,Drama
18	Cobweb	67.85	Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet	Animation,Family,Adventure,Fantasy,Comedy
19	PAW Patrol: The Mighty Movie	69.24000000000001	Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone	Action,Thriller,Crime
