	Titles	Ratings	Cast	Genre
0	Candy Cane Lane	65.56	Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler	Animation,Comedy,Family
1	Home Alone 2: Lost in New York	67.12	Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi	Animation,Family,Music,Fantasy,Comedy
2	Mad Max: Fury Road	75.85	Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh	Drama,History
3	Puss in Boots: The Last Wish	82.60999999999999	Rebecca Finch,Ray Whelan,Kate Milner Evans,Mark Sears,Peter Cosgrove,Carmina Cordelia,Mike Kelson,Kate Lush,Georgia Woodthorpe	Action,Horror,Fantasy
4	Uri: The Surgical Strike	71.81	Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin	Horror,Mystery
5	Agent Jade Black	13.0	Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture	Action,Adventure,Thriller
6	The Mongolian Connection	65.0	Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa	Action,Crime,Thriller
7	Aquaman and the Lost Kingdom	0.0	John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann	Science Fiction,Action,Thriller
8	Mavka: The Forest Song	72.81		
9	Muzzle	66.57	Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen	Action,Drama,Romance
10	Believer 2	71.0	Jennifer Garner,Ed Helms,Emma Myers,Brady Noon,Lincoln Sykes,Theodore Sykes,Rita Moreno,Matthias Schweighöfer,Vanessa Carrasco	Comedy,Fantasy,Family,Crime
11	The Hunger Games: Mockingjay - Part 1	68.02	Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny	Action,Thriller
12	After Everything	70.06	Corey Taylor,Destiny Salas,Lindsey Cruz,Steve Delgado,Julie Garcia-Briceno,Jackie Gerhardy,Mark Justice,Gotham McFadden,Destiny Faith Nelson	Science Fiction
13	Nowhere	75.19999999999999	John Cena,Alison Brie,Juan Pablo Raba,Alice Eve,Marton Csokas,Christian Slater,Julianne Arrieta,Molly McCann,Daniel Toro	Action,Comedy
14	Krampus	61.550000000000004	Ryunosuke Kamiki,Hidetaka Yoshioka,Minami Hamabe,Kuranosuke Sasaki,Yuki Yamada,Saki Nakatani,Munetaka Aoki,Sakura Ando,Mio Tanaka	Drama,Science Fiction,Action
15	The Little Mermaid	64.78	Dolph Lundgren,Tyrese Gibson,Michael Jai White,Kellan Lutz,Vicellous Shannon,Hiram A. Murray,Justen Jones,Gary David Keast,Aaron Courteau	War,Drama,Action
16	Godzilla vs. Kong	77.0	Bridget Rose Perrotta,Destiny Leilani Brown,James Liddell,Gideon Berger,Cayla Berejikian,Victoria Andrunik,Darin F. Earl II,Searra Sawka,Thomas J. Cipriano	Horror,Mystery
17	Harry Potter and the Philosopher's Stone	79.15	Tserendolgor Munkhbat,Altantur Altanjargal	History,Action,Drama
18	Landscape with Invisible Hand	64.0	Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet	Animation,Family,Adventure,Fantasy,Comedy
19	Boudica	60.11	Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone	Action,Thriller,Crime
