	Titles	Ratings	Cast	Genre
0	Thanksgiving	62.79	Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler	Animation,Comedy,Family
1	The End of Sex	60.0	Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi	Animation,Family,Music,Fantasy,Comedy
2	The Monkey King: Reborn	71.78	Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh	Drama,History
3	Radical	76.0	Rebecca Finch,Ray Whelan,Kate Milner Evans,Mark Sears,Peter Cosgrove,Carmina Cordelia,Mike Kelson,Kate Lush,Georgia Woodthorpe	Action,Horror,Fantasy
4	Thriller Night	68.89999999999999	Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin	Horror,Mystery
5	Interstellar	84.21	Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture	Action,Adventure,Thriller
6	One Piece: Episode of Skypiea	68.75	Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa	Action,Crime,Thriller
7	Wifelike	70.94	John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann	Science Fiction,Action,Thriller
8	Harry Potter and the Chamber of Secrets	77.18		
9	Rally Road Racers	74.0	Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen	Action,Drama,Romance
10	Godzilla: King of the Monsters	67.0	Jennifer Garner,Ed Helms,Emma Myers,Brady Noon,Lincoln Sykes,Theodore Sykes,Rita Moreno,Matthias Schweighöfer,Vanessa Carrasco	Comedy,Fantasy,Family,Crime
11	Black Adam	70.0	Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny	Action,Thriller
12	Titanic	79.0	Corey Taylor,Destiny Salas,Lindsey Cruz,Steve Delgado,Julie Garcia-Briceno,Jackie Gerhardy,Mark Justice,Gotham McFadden,Destiny Faith Nelson	Science Fiction
13	The Elevator	57.0	John Cena,Alison Brie,Juan Pablo Raba,Alice Eve,Marton Csokas,Christian Slater,Julianne Arrieta,Molly McCann,Daniel Toro	Action,Comedy
14	The Night Crew	50.93	Ryunosuke Kamiki,Hidetaka Yoshioka,Minami Hamabe,Kuranosuke Sasaki,Yuki Yamada,Saki Nakatani,Munetaka Aoki,Sakura Ando,Mio Tanaka	Drama,Science Fiction,Action
15	1962 Halloween Massacre	30.0	Dolph Lundgren,Tyrese Gibson,Michael Jai White,Kellan Lutz,Vicellous Shannon,Hiram A. Murray,Justen Jones,Gary David Keast,Aaron Courteau	War,Drama,Action
16	Inside Out	79.21000000000001	Bridget Rose Perrotta,Destiny Leilani Brown,James Liddell,Gideon Berger,Cayla Berejikian,Victoria Andrunik,Darin F. Earl II,Searra Sawka,Thomas J. Cipriano	Horror,Mystery
17	The Shawshank Redemption	87.06	Tserendolgor Munkhbat,Altantur Altanjargal	History,Action,Drama
18	Black Panther: Wakanda Forever	71.67	Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet	Animation,Family,Adventure,Fantasy,Comedy
19	Carl's Date	76.07000000000001	Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone	Action,Thriller,Crime
