,Titles,Ratings,Cast,Genre
9,172 Days,45.0,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,Ben Miles,John Hollingworth,Youssef Kerkour,Davide Tucci,Edouard Philipponnat,Paul Rhys","Drama,History,War"
10,PAW Patrol: The Mighty Movie,69.0,"Dominique Vandenberg,Louis Mandylor,Carmen Argenziano,Manny Alva,Brad Ashten,Robb Zbacnik,Jeremiah B. McQueen,Geordie Robinson,Alina Andrei",Action
11,Cobweb,67.9,"Cho Jin-woong,Cha Seung-won,Han Hyo-joo,Oh Seung-hoon,Kim Dong-young,Lee Joo-young,Jung Jun-won,Kang Seung-hyun,Jo Han-chul","Crime,Action,Thriller"
12,Wish,68.60000000000001,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone","Action,Thriller,Crime"
13,Retribution,69.86,"Tom Blyth,Rachel Zegler,Josh Andrés Rivera,Peter Dinklage,Viola Davis,Hunter Schafer,Jason Schwartzman,Mackenzie Lansing,Ashley Liao","Action,Romance,Drama"
14,Spider-Man: Across the Spider-Verse,84.02,"Ben Foster,Billy Magnussen,Vicky Krieps,Peter Sarsgaard,Saro Emirze,Danny DeVito,John Leguizamo,Dar Zuzovsky,Laurent Papot","History,Action,Drama"
15,Mega Lightning,45.0,"Jason Statham,Wu Jing,Shuya Sophia Cai,Page Kennedy,Sergio Peris-Mencheta,Sienna Guillory,Cliff Curtis,Skyler Samuels,Melissanthi Mahut","Action,Science Fiction,Horror"
16,Avatar: The Way of Water,76.49,"Xolo Mariduena,Bruna Marquezine,Susan Sarandon,Raoul Max Trujillo,Belissa Escobedo,Damián Alcázar,Elpidia Carrillo,George Lopez,Adriana Barraza","Action,Science Fiction,Adventure"
17,Spider-Man: No Way Home,79.86,"Brie Larson,Teyonah Parris,Iman Vellani,Zawe Ashton,Samuel L. Jackson,Gary Lewis,Park Seo-jun,Zenobia Shroff,Mohan Kapur","Science Fiction,Adventure,Action"
18,The Exorcist: Believer,61.89,"Masako Nozawa,Hiromi Tsuru,Mayumi Tanaka,Kōhei Miyauchi,Hirotaka Suzuoki,Hiroko Emori,Toru Furuya,Mitsuko Horie,Banjo Ginga","Action,Animation"
19,John Wick: Chapter 4,77.89,"Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet","Animation,Family,Adventure,Fantasy,Comedy"
0,Last Night of Amore,72.30000000000001,"Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi","Animation,Family,Music,Fantasy,Comedy"
1,Gunfight at Rio Bravo,43.0,"Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh","Drama,History"
2,All-Time High,58.0,"John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann","Science Fiction,Action,Thriller"
3,Renegades,41.18000000000001,"Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler","Animation,Comedy,Family"
4,The Hunger Games: Mockingjay - Part 1,68.03,"Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin","Horror,Mystery"
5,The Flash,68.38,"Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture","Action,Adventure,Thriller"
6,Babylon A.D.,56.0,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Priyamani,Sanya Malhotra,Sunil Grover,Ridhi Dogra,Deepika Padukone,Lehar Khan","Action,Adventure,Thriller"
7,Uri: The Surgical Strike,71.73,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa","Action,Crime,Thriller"
8,Muzzle,66.57,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny","Action,Thriller"
9,Guardians of the Galaxy Vol. 3,80.07,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,Ben Miles,John Hollingworth,Youssef Kerkour,Davide Tucci,Edouard Philipponnat,Paul Rhys","Drama,History,War"
10,Avengers: Infinity War,82.52000000000001,"Dominique Vandenberg,Louis Mandylor,Carmen Argenziano,Manny Alva,Brad Ashten,Robb Zbacnik,Jeremiah B. McQueen,Geordie Robinson,Alina Andrei",Action
11,The Night Crew,51.0,"Cho Jin-woong,Cha Seung-won,Han Hyo-joo,Oh Seung-hoon,Kim Dong-young,Lee Joo-young,Jung Jun-won,Kang Seung-hyun,Jo Han-chul","Crime,Action,Thriller"
12,The Elevator,70.0,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone","Action,Thriller,Crime"
13,Puss in Boots: The Last Wish,82.60999999999999,"Tom Blyth,Rachel Zegler,Josh Andrés Rivera,Peter Dinklage,Viola Davis,Hunter Schafer,Jason Schwartzman,Mackenzie Lansing,Ashley Liao","Action,Romance,Drama"
